Date,maxtemp,pred_maxtemp,class_true,class_pred
2018-06-26,32.0,32.03,mediana,mediana
2018-06-27,34.0,33.7,mediana,mediana
2018-06-28,33.0,33.55,mediana,mediana
2018-06-29,26.0,28.64,baja,baja
2018-06-30,37.0,36.3,alta,alta
2018-07-01,36.0,35.42,alta,alta
2018-07-02,39.0,37.94,alta,alta
2018-07-03,27.0,30.32,baja,mediana
2018-07-04,37.0,34.29,alta,alta
2018-07-05,36.0,35.52,alta,alta
2018-07-06,35.0,35.27,alta,alta
2018-07-07,33.0,32.78,mediana,mediana
2018-07-08,35.0,34.59,alta,alta
2018-07-09,37.0,36.15,alta,alta
2018-07-10,30.0,27.94,baja,baja
2018-07-11,33.0,32.22,mediana,mediana
2018-07-12,31.0,31.44,mediana,mediana
2018-07-13,23.0,22.91,baja,baja
2018-07-14,27.0,27.11,baja,baja
2018-07-15,27.0,26.02,baja,baja
2018-07-16,21.0,22.07,baja,baja
2018-07-17,21.0,21.7,baja,baja
2018-07-18,23.0,23.03,baja,baja
2018-07-19,23.0,24.62,baja,baja
2018-07-20,32.0,31.9,mediana,mediana
2018-07-21,28.0,28.63,baja,baja
2018-07-22,30.0,29.26,baja,baja
2018-07-23,31.0,30.67,mediana,mediana
2018-07-24,34.0,34.58,mediana,alta
2018-07-25,34.0,33.78,mediana,mediana
2018-07-26,35.0,34.4,alta,alta
2018-07-27,27.0,28.26,baja,baja
2018-07-28,33.0,32.71,mediana,mediana
2018-07-29,35.0,34.92,alta,alta
2018-07-30,28.0,28.76,baja,baja
2018-07-31,32.0,32.36,mediana,mediana
2018-08-01,29.0,32.52,baja,mediana
2018-08-02,33.0,33.27,mediana,mediana
2018-08-03,32.0,32.23,mediana,mediana
2018-08-04,32.0,32.82,mediana,mediana
2018-08-05,35.0,32.38,alta,mediana
2018-08-06,36.0,35.79,alta,alta
2018-08-07,35.0,35.24,alta,alta
2018-08-08,29.0,32.82,baja,mediana
2018-08-09,33.0,33.95,mediana,mediana
2018-08-10,36.0,35.04,alta,alta
2018-08-11,35.0,34.81,alta,alta
2018-08-12,29.0,30.93,baja,mediana
2018-08-13,25.0,25.86,baja,baja
2018-08-14,36.0,35.98,alta,alta
2018-08-15,34.0,34.34,mediana,alta
2018-08-16,38.0,37.73,alta,alta
2018-08-17,35.0,33.45,alta,mediana
2018-08-18,37.0,36.36,alta,alta
2018-08-19,36.0,35.9,alta,alta
2018-08-20,34.0,34.5,mediana,alta
